Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  08:30:00,-9.45,3698.191694964431,1.0,364.91995730569456,1.0,364.91995730569456,3698.191694964431,8.964739574515294,13.460140247711398,8.602021047356857,-4.773749267831761,8.079826006007162 
 01/01  08:45:00,-9.175,4300.2673206835229,1.0,420.35879993239237,1.0,420.35879993239237,4300.2673206835229,9.320684362550632,16.216418199429815,9.505004090267108,-4.212239549163769,8.344783150505029 
 01/01  09:00:00,-8.9,4925.271017558337,1.0,478.00138373643099,1.0,478.00138373643099,4925.271017558337,9.73556470006283,19.210299047444349,10.393681256590583,-3.638765029531214,8.625751603735209 
 01/01  09:15:00,-8.350000000000002,5563.47927965646,1.0,536.9185644770597,1.0,536.9185644770597,5563.47927965646,10.101825884233108,20.32340622813338,11.318302704539633,-3.0091640649704347,8.923276939566439 
 01/01  09:30:00,-7.800000000000001,6223.735720388039,1.0,598.0969199229219,1.0,598.0969199229219,6223.735720388039,10.500999997797902,21.573095860703149,12.259713180789334,-2.3757199328674689,9.064592340654901 
 01/01  09:45:00,-7.25,6656.871608685562,1.0,637.6133352894237,1.0,637.6133352894237,6656.871608685562,10.775777039006357,21.6284619015408,12.941436547710737,-1.918468895663807,9.337637387203868 
 01/01  10:00:00,-6.7,7083.627635407371,1.0,676.6412284283772,1.0,676.6412284283772,7083.627635407371,11.042698884204269,21.784971432883656,13.56300084022007,-1.4657660742146277,9.540197835765959 
 01/01  10:15:00,-6.275,7502.619881932496,1.0,715.0112779846514,1.0,715.0112779846514,7502.619881932496,11.462976036377788,23.884728016792658,14.251280435798208,-0.803189509623337,10.007114466022206 
 01/01  10:30:00,-5.85,7911.749570952164,1.0,752.5077794605232,1.0,752.5077794605232,7911.749570952164,11.93646147414926,25.82199752259092,14.99286842482826,-0.15045699107253086,10.443233666642304 
 01/01  10:45:00,-5.425,7790.156876744835,1.0,742.5988714321785,1.0,742.5988714321785,7790.156876744835,12.228167004551685,25.673964562842998,15.25900451934001,0.1696460074051629,10.849591857902834 
 01/01  11:00:00,-5.0,7616.415097398768,1.0,727.8169025450712,1.0,727.8169025450712,7616.415097398768,12.506346863891692,25.445910547757977,15.428156434802702,0.4612676306584831,11.209726659276385 
 01/01  11:15:00,-4.575,7317.63187899619,1.0,700.3759009170325,1.0,700.3759009170325,7317.63187899619,12.70679502166413,24.704092813957826,15.456714131169349,0.7074044711288252,11.519676142340466 
 01/01  11:30:00,-4.15,7096.045470548525,1.0,681.6705029034473,1.0,681.6705029034473,7096.045470548525,12.92732907468751,24.374504535220788,15.54662787295922,1.0135842472102468,11.792113690353155 
 01/01  11:45:00,-3.7249999999999998,6229.736928425406,1.0,602.01865277251,1.0,602.01865277251,6229.736928425406,12.841436619324952,21.345801547336575,14.985826056074302,0.9073553903504035,12.00243737168277 
 01/01  12:00:00,-3.3,5087.904404183855,1.0,493.55004396206007,1.0,493.55004396206007,5087.904404183855,12.64670178580968,17.16884427178315,13.989180590361002,0.5835651210119295,12.117972157324509 
 01/01  12:15:00,-3.0249999999999996,4201.063393949559,1.0,412.335026418112,1.0,412.335026418112,4201.063393949559,12.512642775292456,14.32588330562585,13.186574633198746,0.3797319686184437,12.15722664857727 
 01/01  12:30:00,-2.75,3076.892122430221,1.0,305.94037763660148,1.0,305.94037763660148,3076.892122430221,12.176349831621647,10.153599889508954,12.009178182599328,-0.03026107810421763,12.13211476893768 
 01/01  12:45:00,-2.475,2809.0935899127655,1.0,281.0763483922329,1.0,281.0763483922329,2809.0935899127655,12.149030489855932,9.642479308955436,11.719796789040402,0.12183465897618362,12.086263470109673 
 01/01  13:00:00,-2.2,2546.8736709552365,1.0,256.7721209415886,1.0,256.7721209415886,2546.8736709552365,12.109570727863013,9.036462402215728,11.532094276837825,0.30055658517812847,12.046879295679198 
